"Nummer","Datum","Art","Geschäft","URL","Date"
"Antwort 579/2009","01.09.2009","Bericht und Antrag","Antwort des Stadtrates zur Intepellation Nr. 579 betreffend Schulwegsicherheit","https://www.uster.ch/politbusiness/100987?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=92","2009-09-01"
"599/2009","01.09.2009","Postulat","Postulat Nr. 599 des Ratsmitgliedes Balthasar Thalmann betreffend Trägerorganisation für die Zentrumsentwicklung","https://www.uster.ch/politbusiness/96714?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=92","2009-09-01"
"Antwort 576/2009","01.09.2009","Bericht und Antrag","Antwort des Stadtrates zur Leistungsmotion Nr. 576 des Ratsmitgliedes Balthasar Thalmann betreffend Strategische Boden- und Immobilienpolitik","https://www.uster.ch/politbusiness/96150?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=92","2009-09-01"
"Antwort 596/2009","01.09.2009","Bericht und Antrag","Antwort des Stadtrates zur Anfrage Nr. 596 des Ratsmitgliedes Werner Egli betreffend ""Neue Führungsstrukturen in den Heimen der Stadt Uster""","https://www.uster.ch/politbusiness/96151?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=92","2009-09-01"
"335/2009","25.08.2009","Bericht und Antrag","Antrag des Stadtrates betreffend Erweiterung der Stadt- und Regionalbibliothek - Bankstrasse 17, Genehmigung der Bauabrechnung","https://www.uster.ch/politbusiness/95724?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=92","2009-08-25"
"336/2009","25.08.2009","Bericht und Antrag","Antrag des Stadtrates betreffen Umweltschutz, Erlass der Abfallverordnung","https://www.uster.ch/politbusiness/95726?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-08-25"
"Antwort 595/2009","25.08.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 595 der Ratsmitglieder Benno Scherrer Moser und Cla Famos betreffend ""Senkung des Aufwandes im Budgetprozess""","https://www.uster.ch/politbusiness/95729?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-08-25"
"334/2009","18.08.2009","Bericht und Antrag","Antrag der Sozialbehörde betreffend Pro Senectute Kredit 2010-2013 Kanton Zürich","https://www.uster.ch/politbusiness/95447?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-08-18"
"Antwort 593/2009","18.08.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 593 des Ratsmitgliedes Cla Famos betreffend ""Einsatz der Seerettung im Zusammenhang mit dem Unfall eines Fischers auf dem Greifensee""","https://www.uster.ch/politbusiness/95451?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-08-18"
"Antwort 594/2009","18.08.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 594 des Ratsmitgliedes Marianne Siegrist betreffend ""Weiterentwicklung eines Parkraumkonzeptes entlang der Zürichstrasse""","https://www.uster.ch/politbusiness/95453?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-08-18"
"333/2009","18.08.2009","Bericht und Antrag","Antrag des Stadtrates betreffend Stadtverwaltung, Standort- und Raumoptimierung, Genehmigung der Bauabrechnung","https://www.uster.ch/politbusiness/95444?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-08-18"
"Antwort 592/2009","18.08.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 592 des Ratsmitgliedes Julia Amherd betreffend ""Personalsituation und Arbeitsbedingungen in den Heimen der Stadt Uster""","https://www.uster.ch/politbusiness/95442?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-08-18"
"332/2009","18.08.2009","Bericht und Antrag","Antrag des Stadtrates auf Kenntnisnahme Beschluss, Beschluss Stadtrat betreffend Energie AG, Verwendung des Bilanzgewinns 2008, Geschäftsbericht/Jahresrechnung 2008 sowie Neuwahl in den Verwaltungsrat","https://www.uster.ch/politbusiness/95449?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-08-18"
"598/2009","14.07.2009","Postulat","Postulat Nr. 598 der Ratsmitglieder Benno Scherrer Moser und Daniel Hunziker betreffend optimale Verkehrsführung bei den Bahnübergängen Wermatwilerstrasse und Kreuzstrasse","https://www.uster.ch/politbusiness/100989?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=93","2009-07-14"
"326/2009","09.07.2009","Bericht und Antrag","Antrag des Stadtrates betreffend Strandbad Uster, Sanierung und Aufwertung der Seeuferanlage, Kreditbewilligung","https://www.uster.ch/politbusiness/94224?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-07-09"
"Antwort 589/2009","07.07.2009","Bericht und Antrag","Anwort des Stadtrates auf die InterpellationNr. 589 des Ratsmitgliedes Daniel Hunziker betreffend Partizipation der Bevölkerung","https://www.uster.ch/politbusiness/93461?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-07-07"
"Antwort 591/2009","07.07.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 591 der Ratsmitglieder Werner Egli und Jean-François Rossier betreffend Wirtschaftskrise","https://www.uster.ch/politbusiness/93485?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-07-07"
"Antwort 551/2009","07.07.2009","Bericht und Antrag","Antwort des Stadtrates auf das Postulat Nr. 551 der Ratsmitglieder Simone Michel und Werner Hürlimann betreffend Förderung lokaler ProduzentInnen","https://www.uster.ch/politbusiness/93463?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-07-07"
"325/2009","06.07.2009","Bericht und Antrag","Antrag der Sekundarstufe Uster betreffend Erteilung eines Ausführungskredites von CHF 3'896'818.50 für die Ausführung einer Turnhalle der Schulanlage Freiestrasse","https://www.uster.ch/politbusiness/93466?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-07-06"
"Anwort 571/2009","30.06.2009","Bericht und Antrag","Antwort des Stadtrates auf das Postulat Nr. 571 des Ratsmitgliedes Maja Burger betreffend Berücksichtigung der IAO-Kernübereinkommen im städtischen Beschaffungswesen","https://www.uster.ch/politbusiness/92943?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-06-30"
"Antwort 590/2009","23.06.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 590 des Ratsmitgliedes Balthasar Thalmann","https://www.uster.ch/politbusiness/92410?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-06-23"
"297/2009","23.06.2009","Bericht und Antrag","Antrag der Kommission Öffentliche Dienste und Sicherheit betreffend Projektabbruch Neubau Schulhaus Krämeracker","https://www.uster.ch/politbusiness/92597?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-06-23"
